num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
47,1,1,3,1,0,0,0,True,0,0,0,0,0,0,0,0
49,49,0,0,0,0,0,0,True,1,0,0,0,1,0,1,0
85,1,2,4,1,0,1,0,True,0,0,0,0,0,0,0,0
224,2,0,5,1,1,1,0,True,0,0,0,0,0,0,0,0
46,1,1,2,0,0,0,0,True,0,0,0,0,0,0,0,0
8,2,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
95,2,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
16,2,1,2,1,0,1,0,True,0,0,0,0,0,0,0,0
10,2,0,3,1,0,1,0,True,0,0,0,0,0,0,0,0
23,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
77,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
67,1,1,4,0,0,0,0,True,0,0,0,0,0,0,0,0
34,2,1,0,0,0,1,0,True,0,0,0,0,0,0,0,0
9,6,0,9,1,0,1,0,True,0,0,0,0,0,0,0,0
7,3,1,11,0,0,1,0,True,0,0,0,0,0,0,0,0
8,2,1,9,1,0,1,0,True,0,0,0,0,0,0,0,0
13,1,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
4,6,1,11,1,0,1,0,True,0,0,0,0,0,0,0,0
26,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
30,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
29,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
11,1,1,9,0,0,1,0,True,0,0,0,0,0,0,0,0
48,1,2,3,1,0,1,0,True,0,0,0,0,0,0,0,0
232,0,0,6,1,0,0,0,True,0,0,0,0,0,0,0,0
845,0,10,7,1,1,1,0,True,0,0,0,0,0,5,0,1
302,1,9,3,0,1,1,0,True,0,0,0,0,0,3,0,0
302,0,5,1,1,1,1,0,True,0,0,0,0,0,0,0,0
102,0,17,1,1,1,1,0,True,0,0,0,0,0,2,0,0
157,2,6,1,1,1,1,0,True,0,0,0,0,0,2,0,0
365,0,0,3,1,0,0,0,True,0,0,0,0,0,0,0,0
64,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
3,0,1,2,1,0,1,0,True,0,0,0,0,0,0,0,0
214,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
136,19,3,7,1,0,1,0,True,1,0,0,0,0,1,1,1
149,1,2,1,1,1,1,0,True,0,0,0,0,0,1,0,0
141,65,1,15,1,1,1,0,True,0,0,1,1,1,1,1,1
631,0,0,8,1,0,0,0,True,0,0,0,0,0,0,0,0
40,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
740,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
853,29,10,24,1,1,1,0,True,1,0,0,0,4,1,2,0
277,7,0,0,0,0,1,0,True,1,0,0,0,0,0,0,0
108,1,1,2,0,1,0,0,True,0,0,0,0,0,0,0,0
25,2,0,0,0,0,1,0,True,0,0,0,0,0,0,0,0
9,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
84,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
52,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
72,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
467,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
16,1,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
41,15,16,26,1,1,1,0,True,1,0,0,0,0,7,1,0
179,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
89,36,7,11,1,1,1,0,True,4,0,1,0,1,1,0,0
18,0,7,5,1,1,1,0,True,0,0,0,0,0,0,0,0
36,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
38,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
59,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
29,0,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
141,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
128,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
87,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
267,267,0,0,0,0,0,0,True,13,0,1,0,18,0,32,0
76,0,19,7,1,1,1,0,True,0,0,0,0,0,0,0,1
6,1,18,13,1,1,1,0,True,0,0,0,0,0,1,0,2
90,1,4,0,0,0,0,0,True,0,0,0,0,0,1,0,0
730,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
103,4,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
5,1,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
175,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
198,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
46,5,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
358,46,0,1,1,1,1,0,True,0,0,0,0,5,0,0,0
40,46,0,0,1,0,1,0,True,1,0,0,0,2,0,1,0
396,59,0,4,1,1,1,0,True,1,0,0,0,2,0,2,0
471,14,9,18,1,1,1,0,True,0,0,0,0,2,0,0,0
475,2,5,5,1,1,1,0,True,0,0,0,0,0,0,0,0
752,0,0,7,0,0,0,0,True,0,0,0,0,0,0,0,0
70,2,1,11,1,1,1,0,True,0,0,0,0,0,0,0,0
278,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
214,13,8,14,1,1,1,0,True,0,0,0,0,0,1,1,2
791,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
150,1,1,0,0,0,0,0,True,0,0,0,0,0,0,0,0
37,15,0,2,1,1,1,0,True,0,0,1,0,0,1,0,0
81,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
80,0,0,1,0,0,0,0,True,0,0,0,0,0,1,0,0
176,11,0,4,1,1,1,0,True,0,0,0,0,0,0,0,0
118,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
34,26,0,2,1,0,0,0,True,0,0,0,0,2,0,1,0
11,22,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
206,34,0,0,0,0,1,0,True,0,0,1,0,0,0,0,0
27,30,0,1,0,0,0,0,True,0,0,0,0,4,0,2,0
797,65,0,1,1,0,1,0,True,0,0,1,0,1,0,0,0
1112,6,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
18,31,0,0,1,0,1,0,True,1,0,0,0,4,0,1,0
71,1,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
37,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
129,0,6,8,1,1,1,0,True,0,0,0,0,0,0,0,0
41,1,0,3,0,0,1,0,True,0,0,0,0,0,0,0,0
11,2,2,2,0,0,1,0,True,0,0,0,0,0,0,0,0
120,0,2,1,1,1,1,0,True,0,0,0,0,0,0,0,0
422,0,3,36,1,0,1,0,True,0,0,0,0,0,0,0,0
732,0,1,23,1,1,1,0,True,0,0,0,0,0,0,0,0
61,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
153,0,0,13,0,0,0,0,True,0,0,0,0,0,0,0,0
166,0,0,17,0,0,0,0,True,0,0,0,0,0,0,0,0
454,21,17,7,1,1,1,0,True,1,0,0,0,1,3,0,0
1357,9,2,4,1,1,1,0,True,0,0,0,0,1,0,0,0
246,16,0,1,1,1,1,0,True,1,0,0,0,0,0,0,0
