num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
592,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
128,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
814,0,0,5,0,0,0,0,True,0,0,0,0,0,0,0,0
645,20,48,22,1,1,1,0,True,0,0,1,0,5,0,0,0
2354,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
3601,3,1,9,1,1,1,0,True,0,0,0,0,0,0,0,0
69,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
155,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
2229,0,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
956,3,5,16,1,1,1,0,True,0,0,1,1,1,0,1,1
2011,108,7,24,1,1,1,0,True,0,0,0,0,0,0,0,0
2329,2,15,4,1,1,1,0,True,0,0,0,0,2,1,0,0
1722,16,14,13,1,1,1,0,True,1,0,0,0,0,0,1,0
163,1,9,13,1,1,1,0,True,0,0,0,0,0,0,0,0
75,10,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
42,5,0,7,1,1,1,0,True,0,0,0,0,0,0,0,0
367,5,5,24,1,1,1,0,True,0,0,0,0,0,0,0,0
348,55,14,125,1,1,1,0,True,0,0,0,0,0,0,0,0
24,4,4,4,0,1,1,0,True,0,0,0,0,0,0,0,0
584,19,7,29,1,1,1,0,True,0,0,0,0,0,0,0,0
19,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
250,4,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
59,5,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
12,28,6,3,1,1,1,0,True,1,0,0,0,4,0,1,0
252,15,0,3,1,1,1,0,True,0,0,0,0,1,0,1,0
209,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
64,5,0,4,1,1,1,0,True,0,0,0,0,0,4,0,0
64,2,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
207,5,4,2,1,0,1,0,True,1,0,0,0,0,0,0,0
195,11,2,5,1,1,1,0,True,2,1,0,0,1,0,1,1
29,1,0,1,1,0,1,0,True,0,0,0,0,0,0,1,0
256,8,1,12,1,1,1,0,True,0,0,0,0,0,10,1,0
76,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
56,18,0,4,1,1,1,0,True,0,0,0,0,0,0,0,0
39,15,0,6,1,1,1,0,True,1,0,0,0,0,1,2,0
224,16,1,21,1,1,1,0,True,0,0,0,0,0,14,0,0
94,0,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
196,8,16,14,1,1,1,0,True,0,0,0,0,1,0,1,0
140,8,1,12,1,1,1,0,True,0,0,0,0,0,5,0,0
693,3,6,3,1,1,1,0,True,0,0,0,0,0,2,0,0
976,17,1,1,1,1,1,0,True,1,0,0,0,1,0,1,0
624,18,0,4,1,1,1,0,True,0,0,0,0,1,0,0,0
82,1,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
950,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
513,5,19,3,1,1,1,0,True,1,2,0,0,0,0,1,2
