num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
9,0,15,7,1,1,1,0,True,0,0,0,0,0,9,1,3
138,1,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
37,1,1,2,0,0,0,0,True,0,0,0,0,0,1,0,1
29,29,0,0,0,0,0,0,True,3,0,0,0,3,0,6,0
16,25,0,3,1,1,1,0,True,1,0,0,0,2,0,3,0
4,9,0,0,1,1,1,0,True,1,0,0,0,1,0,1,0
173,0,1,0,1,1,1,0,False,0,0,0,0,0,0,0,0
203,5,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
23,37,0,0,1,0,1,0,True,2,0,0,0,2,0,2,0
52,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
16,16,0,0,0,0,0,0,True,3,0,0,0,0,0,1,0
10,10,0,0,0,0,0,0,True,0,0,0,0,0,0,1,0
153,153,0,0,0,0,0,0,True,0,0,0,0,25,0,0,0
17,17,0,0,0,0,0,0,True,0,0,0,0,1,0,1,0
28,28,0,0,0,0,0,0,True,0,0,0,0,1,0,1,0
14,14,0,0,0,0,0,0,True,1,0,0,0,1,0,3,0
3,3,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
70,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
68,34,1,22,1,0,1,0,True,2,0,0,0,3,0,2,2
36,26,0,1,0,0,1,0,True,0,0,1,0,7,0,1,0
92,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
22,0,1,0,1,0,1,0,False,0,0,0,0,0,0,0,0
19,73,71,56,1,0,1,0,True,2,4,0,0,9,14,2,4
521,13,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
127,19,0,0,1,1,1,0,True,1,0,0,0,1,0,0,0
135,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
268,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
92,0,300,2,1,1,1,0,True,0,26,0,3,0,37,0,13
490,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
318,318,0,0,0,0,0,0,True,35,0,4,0,42,0,37,0
365,13,0,11,1,1,1,0,True,0,0,0,0,0,0,1,0
62,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
76,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
315,1,2,1,1,0,1,0,True,0,0,0,0,0,0,0,1
62,11,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
329,1,0,1,1,0,1,0,True,0,0,0,0,1,0,0,0
126,2,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
303,27,0,1,1,0,1,0,True,2,0,0,0,1,0,2,0
368,3,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
130,9,0,3,1,0,1,0,True,1,0,0,0,2,0,0,0
359,4,0,2,1,1,1,0,True,0,0,0,0,2,0,0,0
573,10,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
112,7,0,2,1,0,1,0,True,1,0,0,0,1,0,0,0
145,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
15,3,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
58,7,0,3,1,0,1,0,True,0,0,2,1,1,0,0,0
238,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
186,1,0,1,1,1,1,0,True,0,0,0,0,0,0,1,1
54,1,1,2,0,0,0,0,True,0,0,0,0,0,0,2,2
135,1,1,2,0,0,0,0,True,0,0,0,0,0,0,2,2
53,3,0,4,0,0,0,0,True,0,0,0,0,4,0,0,0
724,28,0,15,1,1,1,0,True,0,0,0,0,0,0,0,0
368,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
119,4,1,4,1,0,1,0,True,0,0,0,0,2,0,0,0
9,3,11,6,1,0,1,0,True,0,0,0,0,1,0,1,2
18,2,22,6,1,0,1,0,True,1,1,0,1,0,0,1,2
9,10,11,4,1,0,1,0,True,0,0,0,0,2,0,3,3
67,4,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
728,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
245,38,65,72,1,0,1,0,True,19,0,0,0,0,0,0,0
550,2,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
115,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
55,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
509,3,0,3,1,1,1,0,True,1,0,0,0,0,0,0,0
99,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
49,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
88,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
69,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
69,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
195,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
116,12,0,1,1,0,1,0,True,1,0,0,0,0,0,0,0
58,0,0,3,0,0,1,0,True,0,0,0,0,0,0,0,0
336,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
81,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
52,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
94,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
367,2,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
79,21,2,2,1,0,1,0,True,0,0,0,0,2,0,0,0
517,28,0,0,1,1,1,0,True,7,0,0,0,0,0,0,0
176,2,3,1,1,0,1,0,True,0,0,0,0,0,0,0,0
428,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
329,1,0,4,1,1,1,0,True,0,0,0,0,0,0,0,0
100,18,0,2,1,1,1,0,True,2,0,0,0,0,0,2,0
105,0,1,0,1,0,1,0,False,0,0,0,0,0,1,0,0
358,4,1,4,1,0,1,0,True,0,0,0,0,2,0,2,1
72,111,5,14,1,1,1,0,True,2,1,0,0,18,2,10,1
92,1,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
224,2,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
55,18,163,38,1,0,1,0,True,0,3,1,0,3,21,1,8
54,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
92,4,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
333,0,1,2,1,0,1,0,True,0,0,0,0,0,0,0,0
46,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
26,1,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
95,4,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
211,211,0,0,0,0,0,0,True,7,0,1,0,27,0,8,0
76,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
300,3,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
36,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
151,4,0,3,1,1,1,0,True,0,0,0,0,1,0,1,0
57,57,0,0,0,0,0,0,True,4,0,1,0,2,0,1,0
22,3,2,3,1,0,1,0,True,0,0,0,0,1,1,0,0
43,43,0,0,0,0,0,0,True,6,0,0,0,3,0,5,0
271,0,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
6,2,69,1,0,0,1,0,True,0,7,0,1,0,2,1,3
255,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
10,0,3,1,0,0,1,0,True,0,1,0,0,1,0,0,0
22,0,1,0,1,0,1,0,False,0,0,0,0,0,1,0,0
8,0,12,1,1,1,1,0,True,0,1,0,0,0,2,0,4
77,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
79,2,7,1,1,1,1,0,True,0,0,0,0,0,0,1,0
64,1,9,0,1,1,1,0,True,0,0,0,0,0,2,0,1
302,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
384,384,0,0,0,0,0,0,True,16,0,1,0,70,0,48,0
178,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
608,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
4,2,379,1,1,0,1,0,True,0,15,0,1,0,54,0,37
469,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
305,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
129,1,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
316,1,0,0,1,1,1,0,True,0,0,0,0,0,0,1,0
44,44,0,0,0,0,0,0,True,5,0,0,0,1,0,6,0
137,3,1,6,1,1,1,0,True,0,0,0,0,0,0,0,0
199,5,0,6,1,1,1,0,True,0,0,0,0,0,0,0,0
475,1,10,7,1,1,1,0,True,0,0,0,0,0,1,0,1
97,1,0,3,0,0,1,0,True,0,0,0,0,1,0,0,0
725,11,2,6,1,1,1,0,True,0,0,0,0,0,1,1,0
552,9,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
355,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
471,21,0,0,1,1,1,0,True,2,0,0,0,0,0,1,0
92,6,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
85,0,4,0,1,1,1,0,True,0,0,0,0,0,0,0,0
9,0,7,3,1,0,0,0,True,0,0,0,0,0,0,0,1
1,85,0,0,1,0,1,0,True,5,0,0,0,11,0,7,0
105,12,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
425,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
155,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
361,1,1,1,0,0,0,0,True,0,0,0,0,1,0,0,0
191,6,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
42,7,0,0,1,0,1,0,True,1,0,0,0,0,0,2,0
166,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
107,11,1,3,1,1,1,0,True,2,0,0,0,1,0,3,0
61,14,240,37,1,1,1,0,True,5,10,1,0,3,13,3,4
213,213,0,0,0,0,0,0,True,24,0,5,0,19,0,16,0
11,10,1,9,1,0,1,0,True,1,0,0,0,0,6,0,1
57,7,3,4,1,1,1,0,True,1,0,0,0,0,3,1,1
72,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
20,43,8,17,1,1,1,0,True,3,0,0,0,0,22,0,1
521,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
694,0,0,5,0,0,0,0,True,0,0,0,0,0,0,0,0
23,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
162,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
104,1,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
374,0,0,5,0,0,0,0,True,0,0,0,0,0,0,0,0
347,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
507,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
204,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
317,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
278,0,0,2,0,0,1,0,True,0,0,0,0,0,0,0,0
425,2,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
293,21,0,2,1,0,1,0,True,1,0,0,0,1,0,0,0
290,7,1,8,1,0,1,0,True,1,0,0,0,1,1,0,0
305,0,0,6,0,0,0,0,True,0,0,0,0,0,0,1,1
204,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
75,1,0,2,0,0,0,0,True,0,0,1,1,1,0,0,0
310,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
165,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
342,22,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
76,3,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
129,46,12,7,1,1,1,0,True,1,3,0,0,1,4,0,2
169,0,26,17,1,1,1,0,True,0,0,0,0,0,0,0,0
7,1,3,2,1,0,1,0,True,0,0,0,0,0,1,0,0
150,63,0,0,1,0,1,0,True,5,0,1,0,1,0,0,0
26,1,1,7,1,0,1,0,True,0,0,0,0,1,1,0,0
479,1,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
55,17,1,1,1,1,1,0,True,1,0,0,0,0,0,3,0
135,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
62,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
8,0,1,3,0,0,0,0,True,0,0,0,0,0,0,0,0
28,5,2,2,1,0,1,0,True,0,0,0,0,0,3,0,0
210,2,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
23,95,2,10,1,1,1,0,True,6,1,3,0,13,1,8,1
271,5,0,2,1,1,1,0,True,1,0,0,0,0,0,1,0
84,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
71,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
296,296,0,0,0,0,0,0,True,40,0,5,0,23,0,45,0
340,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
4,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
1,1,36,1,1,0,1,1,True,0,2,0,1,0,3,0,4
12,0,141,12,1,0,1,0,True,0,9,1,3,0,7,1,13
70,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
41,9,0,0,0,0,1,0,True,1,0,0,0,1,0,1,0
283,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
229,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
153,1,1,2,0,0,0,0,True,0,0,0,0,0,0,0,2
94,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
151,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
97,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
115,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,1
113,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
124,4,4,17,0,0,0,0,True,0,0,0,0,0,0,0,1
404,0,0,9,0,0,0,0,True,0,0,0,0,0,0,0,1
727,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
341,1,1,5,0,0,0,0,True,0,0,0,0,0,0,0,0
76,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
131,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
199,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
349,2,1,0,1,1,1,0,True,1,0,0,0,0,0,0,0
73,48,13,30,1,1,1,0,True,5,0,1,0,0,3,2,1
330,0,2,0,1,1,1,0,False,0,0,0,0,0,0,0,0
303,2,1,1,1,1,1,0,True,1,0,0,0,0,0,1,0
508,102,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
77,0,0,3,0,0,0,0,True,0,0,0,0,1,0,0,0
407,3,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
47,28,0,1,1,0,1,0,True,2,0,0,0,1,0,1,0
364,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
72,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
154,1,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
29,3,148,24,1,1,1,0,True,5,11,0,0,0,16,1,14
48,138,32,4,1,1,1,0,True,14,0,6,0,8,0,9,0
28,3,0,0,0,0,1,0,True,1,0,0,0,0,0,0,0
140,6,1,3,1,1,1,0,True,0,0,0,0,1,0,1,0
457,6,14,8,1,1,1,0,True,0,0,0,0,0,2,0,1
18,3,0,0,1,0,1,0,True,0,0,0,0,0,0,1,0
158,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
219,1,4,2,1,0,1,0,True,0,0,0,0,1,0,1,0
392,8,1,9,1,1,1,0,True,0,0,0,0,0,0,0,0
38,7,3,4,1,0,1,0,True,0,0,0,0,0,0,0,0
263,4,0,4,1,0,1,0,True,0,0,0,0,0,0,0,0
600,0,0,2,0,0,0,0,True,0,0,0,0,0,0,1,0
706,3,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
363,9,7,4,1,1,1,0,True,0,0,0,0,0,0,1,0
66,25,0,0,1,1,1,0,True,4,0,0,0,0,0,0,0
340,2,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
559,1,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
390,4,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
315,4,1,3,1,1,1,0,True,0,0,0,0,1,0,0,0
771,11,2,7,1,1,1,0,True,0,0,0,0,1,0,0,0
41,1,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
396,5,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
142,7,4,17,1,0,1,0,True,1,0,0,0,1,0,1,0
433,2,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
465,8,0,2,1,1,1,0,True,1,0,0,0,0,0,1,0
675,1,15,3,1,1,1,0,True,0,0,0,0,0,0,0,0
88,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
484,8,1,4,1,0,1,0,True,0,0,0,0,0,0,0,0
327,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
137,35,2,32,1,0,1,0,True,0,0,0,0,1,0,0,0
25,1,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
