num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
788,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
1259,2,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
337,4,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
176,1,1,3,1,0,0,0,True,0,0,0,0,0,0,0,0
13,37,0,1,1,1,1,0,True,0,0,1,0,1,0,1,0
595,2,0,5,1,1,0,0,True,0,0,0,0,1,2,1,0
248,5,0,2,1,0,1,0,True,0,0,0,0,2,0,0,0
424,9,2,1,1,1,1,0,True,0,0,0,0,0,0,1,0
448,4,0,34,1,1,1,0,True,1,0,0,0,0,0,1,0
601,8,2,12,1,1,1,0,True,0,0,0,0,0,0,0,0
130,15,0,0,1,1,1,0,True,1,0,0,0,3,0,2,0
68,0,2,3,1,0,1,0,True,0,0,0,0,0,0,0,0
116,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
866,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
159,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
23,4,2,0,1,1,1,0,True,0,0,0,0,0,0,0,0
16,2,0,3,1,0,0,0,True,0,0,0,0,0,0,0,0
395,2,2,0,0,0,0,0,True,0,0,0,0,0,0,0,0
154,12,0,0,1,1,1,0,True,0,0,0,0,2,0,0,0
595,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
71,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
690,49,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
87,42,49,16,1,1,1,0,True,12,5,0,0,0,0,0,6
73,13,0,0,1,0,1,0,True,2,0,0,0,0,0,0,0
567,6,2,4,1,1,1,0,True,1,0,0,0,0,0,1,0
1383,82,0,0,1,1,1,0,True,2,0,0,0,7,0,0,0
677,4,3,0,1,1,1,0,True,0,0,0,0,1,0,0,0
