num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
1341,2,0,2,1,1,1,0,True,0,0,0,0,1,0,0,0
134,3,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
85,5,0,11,1,1,1,0,True,0,0,0,0,1,0,1,0
16,5,1,5,1,1,1,0,True,0,0,0,0,1,0,0,0
10,9,3,5,1,1,1,0,True,0,0,0,0,1,0,0,0
145,14,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
39,3,2,2,0,0,0,0,True,0,0,0,0,0,0,0,0
9,32,0,0,1,1,1,0,True,1,0,0,0,3,0,4,0
422,0,36,18,1,0,1,0,True,0,0,0,0,0,0,0,0
19,0,4,3,1,0,0,0,True,0,0,0,0,0,0,0,0
42,0,4,0,1,1,1,0,False,0,0,0,0,0,0,0,0
404,0,4,2,1,1,1,0,True,0,0,0,0,0,0,0,0
167,0,2,0,1,1,1,0,False,0,0,0,0,0,0,0,0
32,0,3,2,1,1,1,0,True,0,0,0,0,0,0,0,0
10,0,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
911,0,22,7,1,1,1,0,True,0,0,0,0,0,0,0,0
1446,0,17,4,1,1,1,0,True,0,0,0,0,0,0,0,0
277,0,2,0,1,0,1,0,False,0,0,0,0,0,0,0,0
800,2,13,33,1,1,1,0,True,0,0,0,0,0,0,0,0
201,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,1
435,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,1
761,16,0,6,1,1,1,0,True,0,0,0,0,0,0,0,0
193,0,4,2,1,1,1,0,True,0,0,0,0,0,1,0,0
144,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
52,1,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
3,1,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
235,10,2,4,1,1,1,0,True,1,0,0,0,0,1,0,0
911,32,1,2,1,1,1,0,True,1,0,0,0,1,0,1,0
286,21,12,34,1,1,1,0,True,9,1,0,0,4,2,0,0
52,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
212,0,0,1,0,0,0,0,True,0,0,0,0,1,1,0,0
67,6,16,14,1,0,1,0,True,1,1,0,0,2,5,0,2
98,0,4,2,1,0,1,0,True,0,0,0,0,0,1,0,1
958,0,0,3,1,0,0,0,True,0,0,0,0,0,0,0,0
50,0,10,0,1,0,1,0,False,0,1,0,0,0,0,0,1
225,4,33,2,1,1,1,0,True,0,0,0,0,0,2,2,0
285,5,8,7,1,1,1,0,True,0,0,0,0,1,1,2,0
1,44,0,0,1,1,1,0,True,3,0,1,0,2,0,5,0
40,6,0,2,1,0,1,0,True,1,0,0,0,1,1,0,0
206,4,4,0,1,0,1,0,True,0,0,0,0,0,0,0,0
238,2,2,1,1,0,1,0,True,0,0,0,0,0,0,0,0
985,9,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
140,10,0,0,1,1,1,0,True,1,0,0,0,1,0,0,0
180,4,2,4,1,1,1,0,True,0,0,0,0,1,0,0,0
268,2,4,3,1,1,1,0,True,0,0,0,0,0,0,0,0
8,0,3,0,1,1,1,0,False,0,0,0,0,0,1,0,0
464,14,2,19,1,1,1,0,True,0,0,0,0,0,0,0,0
32,8,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
27,3,0,3,0,0,1,0,True,0,0,0,0,1,0,0,0
312,1,18,0,1,1,1,0,True,0,0,0,0,0,0,0,0
118,8,0,43,1,1,1,0,True,0,0,0,0,1,0,1,0
748,186,0,1,1,1,1,0,True,1,0,0,0,4,0,1,0
209,19,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
883,41,0,0,1,1,1,0,True,1,0,0,0,1,0,0,0
12,2,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
565,16,0,0,1,1,1,0,True,0,0,1,0,0,0,0,0
19,5,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
109,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
18,7,0,0,0,0,1,0,True,0,0,1,0,0,0,0,0
217,22,0,1,1,1,1,0,True,1,0,0,0,1,0,1,0
880,9,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
413,0,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
1036,5,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
262,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
75,33,0,0,1,0,1,0,True,1,0,1,0,3,0,1,0
46,9,1,6,0,1,1,0,True,0,0,0,0,0,0,0,0
41,11,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
293,7,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
91,0,0,5,1,1,1,0,True,0,0,0,0,0,0,0,0
64,3,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
48,6,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
144,15,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
92,9,0,5,1,0,1,0,True,0,0,0,0,0,0,0,0
1054,28,2,5,1,1,1,0,True,0,0,0,0,0,0,0,0
971,0,2,5,1,1,1,0,True,0,0,0,0,0,2,0,0
174,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
1019,0,2,7,1,1,1,0,True,0,0,0,0,0,0,0,0
23,4,3,0,1,0,1,0,True,0,0,0,1,0,0,0,0
91,2,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
175,7,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
147,21,0,7,1,1,1,0,True,0,0,0,0,0,0,0,0
71,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
37,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
318,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
56,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
40,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
99,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
385,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
105,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
338,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
219,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,1
96,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
157,0,0,4,0,0,0,0,True,0,0,0,0,0,0,1,1
272,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
422,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,1
90,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
95,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,1
220,0,0,7,0,0,0,0,True,0,0,0,0,0,0,0,0
927,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
1406,0,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
70,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
22,0,0,4,1,1,0,0,True,0,0,0,0,0,0,0,1
339,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
296,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
341,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
192,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
157,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,1
53,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
296,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,1
39,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
255,1,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
