num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
343,5,0,38,1,1,1,0,True,0,0,0,0,1,0,0,0
570,6,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
753,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
273,39,2,16,1,1,1,0,True,2,0,0,0,7,0,2,0
267,6,0,3,1,1,1,0,True,1,0,0,0,2,0,0,0
461,25,0,1,1,1,1,0,True,2,0,0,0,0,0,1,0
848,1,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
221,1,1,2,1,1,1,0,True,0,0,0,0,1,0,0,0
227,7,1,0,1,1,1,0,True,1,0,0,0,1,0,0,0
204,8,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
196,0,0,7,0,0,1,0,True,0,0,0,0,0,0,0,0
764,5,0,0,1,1,1,0,True,0,0,0,0,5,0,0,0
50,36,0,0,1,1,1,0,True,3,0,0,0,4,0,2,0
95,30,0,0,1,0,1,0,True,1,0,0,0,0,0,1,0
115,44,4,7,1,1,1,0,True,2,0,0,0,2,0,2,0
467,4,4,10,1,0,0,0,True,0,0,0,0,1,1,0,0
383,4,12,18,1,1,1,0,True,0,0,0,0,0,1,0,0
481,2,0,3,1,0,1,0,True,0,0,0,0,0,0,0,0
190,2,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
402,13,26,20,1,1,1,0,True,0,3,0,0,1,1,0,4
1042,13,0,2,1,1,1,0,True,1,0,0,0,1,0,0,0
131,65,14,41,1,1,1,0,True,8,2,1,0,12,5,6,1
603,172,3,16,1,1,1,0,True,10,0,1,0,25,0,9,0
1992,9,5,25,1,1,1,0,True,0,0,0,0,3,0,0,0
765,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
681,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
461,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
228,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
276,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
90,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
479,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
574,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
198,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
757,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
527,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
48,1,1,5,0,0,0,0,True,0,0,0,0,0,0,0,0
2827,18,15,3,1,1,1,0,True,1,0,0,0,5,5,0,1
2227,6,2,3,1,1,1,0,True,1,0,0,0,0,0,0,0
80,3,0,3,1,0,1,0,True,0,0,0,0,1,0,0,0
287,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
2738,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
1098,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
425,26,0,11,1,1,1,0,True,1,0,0,0,1,0,1,0
558,10,1,3,1,1,1,0,True,0,0,0,0,1,0,1,0
151,12,0,0,1,0,1,0,True,1,0,1,0,2,0,1,0
694,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
217,21,0,2,1,1,1,0,True,1,0,0,0,2,0,1,0
1086,2,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
169,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
1330,11,0,6,1,1,1,0,True,0,0,0,0,0,0,0,0
287,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
895,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,1
13,14,0,0,1,1,1,0,True,2,0,1,0,1,0,2,0
188,0,0,3,1,0,0,0,True,0,0,0,0,0,0,0,0
14,0,0,7,0,0,0,0,True,0,0,0,0,0,0,0,0
225,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
155,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,1
380,12,37,5,1,1,1,0,True,2,4,0,0,1,3,2,4
830,146,11,29,1,1,1,0,True,6,0,0,0,28,4,5,1
972,10,1,8,1,1,1,0,True,0,0,0,0,1,0,1,0
188,9,0,4,1,1,1,0,True,3,0,0,0,0,1,4,1
2358,12,27,37,1,1,1,0,True,2,0,0,0,7,2,5,0
2044,12,0,4,1,1,1,0,True,0,0,0,0,1,0,0,0
215,10,0,8,1,1,1,0,True,0,0,0,0,2,0,0,0
115,1,4,2,1,1,1,0,True,0,0,0,0,0,0,0,0
318,4,0,3,1,1,1,0,True,1,0,0,0,0,0,0,0
1342,4,0,14,1,1,1,0,True,0,0,0,0,1,0,0,0
132,30,0,2,1,1,1,0,True,1,0,0,0,0,0,0,0
6,37,0,0,0,1,1,0,True,1,0,0,0,3,0,0,0
117,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
6,35,0,0,0,1,1,0,True,1,0,0,0,3,0,0,0
117,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
638,1,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
487,4,4,2,1,1,1,0,True,0,0,0,0,1,1,0,2
5,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
1014,5,0,2,1,1,1,0,True,0,0,0,0,0,0,1,0
106,33,5,22,1,1,1,0,True,4,0,0,0,0,0,2,0
493,2,0,1,1,1,1,0,True,1,0,0,0,0,0,0,0
20,84,0,1,1,1,1,0,True,6,0,0,0,9,1,10,0
128,1,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
217,13,0,1,1,1,1,0,True,2,0,0,0,0,0,0,0
2754,3,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
675,1,1,8,1,1,1,0,True,0,0,0,0,0,0,0,0
85,5,1,2,1,1,1,0,True,1,0,0,0,0,0,1,0
1322,12,2,13,1,1,1,0,True,3,0,0,0,3,3,1,1
203,3,1,2,1,1,1,0,True,0,0,0,0,3,0,0,0
518,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
174,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
116,20,3,6,1,1,1,0,True,0,0,0,0,0,0,1,0
78,78,0,0,0,0,0,0,True,1,0,0,0,12,0,7,0
1,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
560,174,0,2,1,1,1,0,True,9,0,0,0,23,0,18,0
58,19,0,6,1,0,1,0,True,5,3,0,0,0,0,0,0
9,52,4,11,1,1,1,0,True,2,0,0,0,5,1,2,0
674,1,0,0,1,1,1,0,True,0,0,0,0,0,0,1,0
516,12,1,4,1,1,1,0,True,2,0,0,0,2,0,0,0
30,0,1,1,0,0,1,0,True,0,0,0,0,0,0,0,0
449,8,0,0,1,1,1,0,True,2,0,0,0,0,0,0,0
83,35,7,11,1,1,1,0,True,4,2,0,0,3,0,5,1
