num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
144,6,1,5,1,0,1,0,True,0,0,0,0,1,0,0,0
13,24,0,1,1,0,1,0,True,1,0,0,0,2,0,3,0
137,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
87,4,3,9,1,0,1,0,True,0,0,0,0,0,0,0,0
12,12,1,12,1,0,1,0,True,0,0,0,0,1,0,2,0
108,1,1,7,0,0,0,0,True,0,0,0,0,0,0,0,0
348,3,5,6,1,1,1,0,True,0,0,0,0,0,0,0,0
175,0,2,8,0,0,1,0,True,0,0,0,0,0,0,0,1
68,0,2,7,1,0,1,0,True,0,0,0,0,0,2,0,0
282,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
359,2,0,2,1,1,1,0,True,0,0,0,0,1,0,0,0
295,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
483,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
49,2,1,1,1,1,1,0,True,0,0,0,0,0,0,1,0
134,1,2,0,1,1,1,0,True,0,0,0,0,0,2,0,0
2,1,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
233,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
277,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
28,0,0,1,0,0,1,0,True,1,1,0,0,0,0,0,0
30,16,0,1,1,0,1,0,True,1,0,0,0,4,0,0,0
54,0,0,1,0,0,1,0,True,1,1,0,0,0,0,0,0
144,1,0,5,1,1,1,0,True,0,0,0,0,0,0,0,0
178,2,0,4,1,0,1,0,True,0,0,0,0,0,0,0,0
370,6,0,12,1,1,1,0,True,0,0,0,0,0,0,0,0
105,33,0,0,1,1,1,0,True,2,0,0,0,2,0,1,0
91,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
56,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
106,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
90,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
128,2,2,1,1,0,0,0,True,0,0,0,0,1,0,0,1
222,0,0,8,0,0,0,0,True,0,0,0,0,0,0,0,0
304,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
31,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
256,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
375,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
71,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
74,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
121,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
79,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
66,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
725,0,0,40,0,0,0,0,True,0,0,0,0,0,0,1,1
322,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
1070,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
55,52,1,4,1,1,1,0,True,4,0,2,0,2,0,2,0
159,10,0,2,0,0,1,0,True,0,0,0,0,0,0,0,0
138,0,0,1,0,0,1,0,True,1,1,0,0,0,0,0,0
232,0,1,0,1,1,1,0,True,0,1,0,0,0,0,0,0
126,1,1,1,0,0,1,0,True,1,1,0,0,0,0,0,0
9,30,0,3,1,0,1,0,True,1,0,0,0,3,0,2,0
229,5,9,10,1,1,1,0,True,0,0,0,0,2,3,1,0
125,2,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
103,0,0,2,0,0,1,0,True,0,0,0,0,0,0,0,0
175,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
335,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
30,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
14,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
446,1,0,4,1,1,1,0,True,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,True,0,0,0,0,9,0,6,0
552,9,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
216,11,7,10,1,1,1,0,True,0,0,0,0,2,0,0,0
33,13,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
11,28,0,2,1,0,1,0,True,0,0,0,0,1,0,0,0
369,8,4,11,1,1,1,0,True,1,2,0,0,0,1,0,0
96,1,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
35,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
69,17,1,2,1,1,1,0,True,0,0,0,0,3,0,0,0
478,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
275,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
337,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
138,0,2,0,1,1,1,0,True,0,0,0,0,0,0,0,0
132,0,2,0,1,0,1,0,True,0,0,0,0,0,0,0,0
153,0,1,0,1,1,1,0,True,0,0,0,0,0,0,0,0
187,0,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
177,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
289,0,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
255,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
360,0,1,6,1,1,1,0,True,0,0,0,0,0,0,0,0
433,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
84,0,1,0,1,1,1,0,True,0,0,0,0,0,0,0,0
58,0,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
233,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
393,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
283,0,3,2,1,1,1,0,True,0,0,0,0,0,0,0,0
137,0,5,0,1,1,1,0,True,0,0,0,0,0,0,0,0
22,0,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
86,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
115,0,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
180,0,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
197,1,1,0,1,0,0,0,True,0,0,0,0,0,0,0,0
6,18,0,3,1,1,1,0,True,1,0,0,0,1,0,1,0
88,8,7,2,1,1,1,0,True,0,0,0,0,0,0,0,1
8,38,0,7,1,0,1,0,True,4,0,1,0,1,0,1,0
65,28,25,13,1,0,1,0,True,5,4,1,1,0,1,1,8
177,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
306,12,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
206,0,41,2,1,0,1,0,True,0,2,0,0,0,1,0,1
34,9,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
106,28,0,1,1,0,1,0,True,2,0,0,0,2,0,2,0
373,2,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
133,133,0,0,0,0,0,0,True,17,0,3,0,15,0,8,0
33,0,2,0,1,0,1,0,False,0,0,0,0,0,0,0,0
211,0,2,0,1,0,1,0,True,0,0,0,0,0,0,0,0
142,0,2,0,1,0,1,0,False,0,0,0,0,0,0,0,0
125,0,2,0,1,0,1,0,True,0,0,0,0,0,0,0,0
161,0,2,0,1,0,1,0,False,0,0,0,0,0,0,0,0
104,0,2,0,1,1,1,0,False,0,0,0,0,0,0,0,0
46,0,2,0,1,0,1,0,False,0,0,0,0,0,0,0,0
106,0,2,0,1,1,1,0,False,0,0,0,0,0,0,0,0
190,1,2,0,1,1,1,0,True,0,0,0,0,0,0,0,0
400,3,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
101,8,0,2,1,1,1,0,True,2,1,0,0,0,0,0,0
209,1,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
35,3,0,0,1,0,1,0,True,0,0,0,0,0,0,1,0
45,0,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
41,0,17,0,1,0,1,0,False,0,0,0,0,0,1,0,0
36,4,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
52,0,1,0,1,0,1,0,False,0,0,0,0,0,0,0,0
28,3,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
205,6,4,1,1,1,1,0,True,1,1,0,0,1,0,0,1
371,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
506,3,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
3,6,0,2,1,1,1,0,True,1,0,0,0,0,0,0,0
9,0,11,8,1,1,1,0,True,0,1,0,0,0,0,0,0
480,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
526,9,4,18,1,1,1,0,True,3,1,0,0,1,0,0,0
142,5,1,2,1,0,1,0,True,0,0,0,0,0,0,0,0
257,0,19,2,1,1,1,0,True,0,1,0,0,0,2,1,1
212,0,21,2,1,0,1,0,True,0,1,0,0,0,2,1,1
72,38,0,0,1,1,1,0,True,1,0,0,0,1,0,1,0
144,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
101,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
73,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
112,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
124,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
191,0,0,2,0,0,1,0,True,0,0,0,0,0,0,0,0
442,0,0,3,0,0,1,0,True,0,0,0,0,0,0,0,0
35,0,0,1,0,0,0,0,True,0,0,0,0,0,0,1,0
200,9,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
464,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
363,1,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
216,3,3,0,1,0,1,0,True,0,0,0,0,0,0,0,0
5,0,1,1,1,0,1,0,True,0,0,0,0,0,0,0,1
77,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
322,2,7,5,1,1,1,0,True,0,0,0,0,1,0,0,0
5,3,30,6,1,0,1,0,True,0,3,0,0,0,5,1,1
94,94,0,0,0,0,0,0,True,4,0,0,0,23,0,10,0
40,0,0,2,0,0,1,0,True,1,1,0,0,0,0,0,0
106,6,1,2,1,1,1,0,True,1,1,0,0,0,0,0,0
19,3,9,7,1,0,1,0,True,2,2,0,0,1,5,0,1
41,7,0,1,1,0,1,0,True,1,0,0,0,0,0,0,0
200,1,2,4,1,0,1,0,True,1,1,0,0,1,2,1,0
123,4,1,3,0,0,1,0,True,2,1,0,0,0,0,0,0
10,3,0,3,1,1,1,0,True,0,0,0,0,0,0,1,0
343,19,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
331,11,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
26,6,0,1,1,1,1,0,True,0,0,0,0,1,0,1,0
63,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
400,75,0,7,1,1,1,0,True,5,0,0,0,0,1,0,0
1027,5,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
123,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
13,31,0,0,1,1,1,0,True,1,0,0,0,1,0,2,0
80,22,0,1,0,0,1,0,True,1,0,1,0,0,0,1,0
149,10,2,5,1,1,1,0,True,1,0,0,0,2,0,1,1
51,6,66,21,1,1,1,0,True,0,1,0,0,1,2,2,5
31,4,17,3,1,0,1,0,True,0,0,0,0,0,0,0,0
15,0,12,0,1,1,1,0,True,0,1,0,0,0,3,0,1
7,0,25,1,1,0,1,0,True,0,2,0,1,0,0,0,0
226,5,2,1,1,1,1,0,True,0,0,0,0,1,0,0,0
63,1,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
31,5,1,4,1,1,1,0,True,1,0,0,0,1,1,0,2
249,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
231,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
1,0,13,2,0,0,1,0,True,0,1,0,0,0,0,0,0
11,12,2,10,1,0,1,0,True,0,0,0,0,0,0,0,1
5,4,0,3,1,0,0,0,True,0,0,0,0,0,2,0,0
10,8,4,11,1,0,1,0,True,0,0,0,0,0,1,0,0
5,14,2,9,1,1,1,0,True,0,0,0,0,0,2,0,0
19,3,0,3,1,0,1,0,True,0,0,0,0,0,0,0,1
2,10,2,1,1,0,1,0,True,0,0,0,0,0,1,0,0
133,4,0,0,0,0,1,0,True,1,0,0,0,0,0,0,0
459,9,0,6,1,1,1,0,True,2,0,0,0,0,0,0,0
378,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
7,9,6,14,1,0,1,0,True,0,0,0,0,1,1,0,0
2,3,2,9,0,0,1,0,True,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
146,146,0,0,0,0,0,0,True,6,0,1,0,11,0,4,0
23,23,0,0,0,0,0,0,True,0,0,1,0,2,0,0,0
79,79,0,0,0,0,0,0,True,5,0,1,0,3,0,3,0
24,4,1,6,1,1,1,0,True,0,0,0,0,0,0,0,0
35,35,0,0,0,0,0,0,True,2,0,1,0,1,0,4,0
28,28,0,0,0,0,0,0,True,1,0,1,0,1,0,2,0
2,4,0,12,1,0,1,0,True,0,0,0,0,0,0,0,0
200,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
130,6,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
46,1,1,4,1,0,1,0,True,0,0,0,0,0,0,1,0
534,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
10,1,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
7,49,8,23,1,1,1,0,True,3,1,0,0,9,0,2,0
59,20,15,12,1,1,1,0,True,0,0,0,0,3,5,3,0
43,12,2,4,1,1,1,0,True,0,0,0,0,0,0,1,0
28,12,3,3,1,1,1,0,True,0,0,0,0,0,0,1,0
423,5,4,4,1,1,1,0,True,0,0,0,0,0,2,0,0
85,0,3,5,1,0,1,0,True,0,0,0,0,0,0,0,0
280,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
71,2,18,21,1,1,1,0,True,0,0,0,0,2,2,0,2
127,7,22,18,1,1,1,0,True,1,0,0,0,2,2,1,2
52,2,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
114,28,0,17,1,1,1,0,True,0,0,0,0,0,0,0,0
462,0,1,0,1,1,1,0,False,0,0,0,0,0,0,0,0
112,4,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
542,0,5,0,1,1,1,0,False,0,1,0,0,0,0,0,0
285,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
1329,0,10,1,1,1,1,0,True,0,1,0,0,0,0,0,0
170,170,0,0,0,0,0,0,True,16,0,4,0,21,0,28,0
265,13,2,11,1,1,1,0,True,1,0,0,0,3,0,0,0
17,11,4,6,1,1,1,0,True,1,1,0,0,0,0,2,1
338,11,0,0,0,0,1,0,True,1,0,0,0,0,0,0,0
