num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
109,0,2,1,1,0,1,0,True,0,0,0,0,0,0,0,0
687,0,1,11,1,0,1,0,True,0,0,0,0,0,0,0,0
54,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
129,29,6,0,1,1,1,0,True,2,0,0,0,4,0,6,0
27,27,0,0,0,0,0,0,True,1,0,0,0,2,0,2,0
63,2,11,3,1,1,1,0,True,0,0,0,0,0,3,2,2
38,1,0,1,0,0,0,0,True,0,0,0,0,1,0,0,0
66,66,0,0,0,0,0,0,True,3,0,1,0,5,0,3,0
94,0,11,3,1,1,1,0,True,0,0,0,0,0,3,2,3
50,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
60,1,16,1,1,0,1,0,True,0,0,0,0,0,1,0,2
125,125,0,0,0,0,0,0,True,8,0,2,0,8,0,3,0
890,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
815,7,8,14,1,1,1,0,True,0,1,0,0,0,1,0,1
781,9,1,2,1,1,1,0,True,2,0,0,0,0,1,0,0
29,1,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
165,13,5,2,1,1,1,0,True,1,0,0,0,1,0,1,0
181,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
15,18,0,2,1,0,1,0,True,1,0,0,0,2,1,1,0
46,9,0,3,0,1,1,0,True,1,0,0,0,1,0,1,0
166,8,2,7,1,0,1,0,True,0,0,0,0,0,0,0,0
61,1,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
322,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
162,18,0,3,1,1,1,0,True,0,0,0,0,2,0,1,0
636,3,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
170,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
86,1,0,2,1,0,1,0,True,0,0,0,0,0,0,0,1
333,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
226,0,5,1,1,1,1,0,True,0,1,0,0,0,0,0,1
598,0,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
36,22,0,13,1,1,1,0,True,2,0,0,0,6,2,2,0
114,1,0,0,1,0,0,0,True,0,0,0,0,1,0,0,0
548,0,0,12,0,0,0,0,True,0,0,0,0,0,0,0,0
104,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
141,8,1,2,1,1,1,0,True,1,0,0,0,0,0,0,0
542,0,2,0,1,0,1,0,False,0,0,0,0,0,0,0,0
60,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
140,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
353,0,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
250,1,6,0,1,1,1,0,True,0,0,0,0,0,1,0,1
49,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,1
463,0,101,39,1,1,1,0,True,0,8,0,1,3,9,0,5
320,0,1,1,1,1,1,0,True,0,0,0,0,0,1,0,0
66,9,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
402,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
849,6,0,0,1,1,1,0,True,0,0,0,0,1,0,1,0
14,6,0,0,1,1,1,0,True,1,0,0,0,0,0,1,0
9,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
400,13,1,5,1,1,1,0,True,0,0,0,0,2,0,0,0
19,32,0,0,1,1,1,0,True,3,0,0,0,3,0,1,0
7,4,0,1,1,0,1,0,True,0,0,0,0,1,0,0,0
2,3,0,2,0,0,1,0,True,0,0,0,0,1,0,0,0
400,0,5,0,1,1,1,0,True,0,0,0,0,0,0,0,0
319,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
186,0,2,0,1,1,1,0,True,0,0,0,0,0,0,0,0
272,0,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
536,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
453,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
950,0,0,2,1,0,0,0,True,0,0,0,0,0,0,0,0
201,0,0,4,1,0,0,0,True,0,0,0,0,0,0,0,0
324,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
1509,0,0,2,1,0,0,0,True,0,0,0,0,0,0,0,0
873,9,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
140,23,0,3,1,1,1,0,True,1,0,0,0,2,0,0,0
712,3,0,1,1,1,1,0,True,1,0,0,0,0,0,2,0
82,104,1,3,1,1,1,0,True,1,0,1,0,10,0,7,0
120,3,16,4,1,1,1,0,True,0,0,0,0,0,3,1,3
210,36,4,17,1,1,1,0,True,2,0,0,0,5,1,4,0
116,4,0,1,1,0,0,0,True,0,0,0,0,3,0,0,0
137,79,2,19,1,1,1,0,True,2,0,0,0,10,1,0,0
134,19,0,0,1,1,1,0,True,1,0,0,0,2,0,1,0
61,3,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
122,5,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
171,15,4,19,1,1,1,0,True,2,0,0,0,3,1,2,1
247,1,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
812,0,89,27,1,1,1,0,True,0,1,0,0,0,7,0,6
103,95,58,27,1,1,1,0,True,2,7,1,0,10,5,4,5
58,79,0,2,1,1,1,0,True,7,0,0,0,9,0,5,0
723,2,0,2,1,1,1,0,True,0,0,0,0,1,0,0,0
35,2,0,6,1,1,1,0,True,0,0,0,0,0,0,0,0
79,16,0,4,1,1,1,0,True,2,0,0,0,1,0,3,0
175,20,0,1,1,1,1,0,True,2,0,0,0,0,0,2,0
106,1,0,0,1,0,0,0,True,0,0,0,0,1,0,0,0
1405,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
260,5,0,3,1,1,1,0,True,0,0,0,0,1,0,0,0
49,5,265,6,1,1,1,0,True,0,19,0,2,0,19,0,12
