num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
125,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
3003,2,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
803,6,9,1,1,1,1,0,True,0,0,0,0,2,1,0,0
65,65,0,0,0,0,0,0,True,1,0,0,0,4,0,14,0
44,0,0,1,0,0,0,0,True,0,0,0,0,0,0,2,0
652,2,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
92,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
16,3,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
13,3,0,15,1,1,1,0,True,0,0,0,0,0,0,0,0
11,4,0,7,1,1,1,0,True,0,0,0,0,0,0,0,0
1353,7,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
261,36,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
2870,20,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
115,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
414,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
424,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
312,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
3,6,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
32,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
323,4,3,3,1,1,1,0,True,0,0,0,0,1,2,1,2
481,4,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
462,3,5,7,0,0,0,0,True,0,0,0,0,0,0,0,0
498,5,0,8,1,1,1,0,True,0,0,0,0,0,0,0,0
107,0,1,0,1,1,1,0,False,0,0,0,0,0,0,0,0
1260,4,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
272,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
21,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
42,6,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
427,4,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
181,3,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
122,3,2,1,1,1,1,0,True,0,0,0,0,1,0,0,1
812,2,3,5,1,0,0,0,True,0,0,0,0,0,0,0,0
172,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
54,0,1,5,1,1,1,0,True,0,0,0,0,0,0,0,0
9,1,2,3,1,0,0,0,True,0,0,0,0,0,2,0,0
104,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
125,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
24,5,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
5,10,0,2,1,0,1,0,True,0,0,0,0,2,0,1,0
15,2,0,2,0,0,1,0,True,0,0,0,0,0,0,0,0
423,18,0,0,1,1,1,0,True,0,0,0,0,3,0,1,0
153,0,16,3,1,1,1,0,True,0,0,0,0,0,0,0,0
400,15,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
278,0,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
917,1,1,1,0,0,0,0,True,0,0,0,0,0,1,0,0
68,0,1,0,1,1,1,0,False,0,0,0,0,0,0,0,0
217,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
64,0,1,0,1,1,1,0,False,0,0,0,0,0,0,0,0
60,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
59,0,0,5,0,0,0,0,True,0,0,0,0,0,0,0,0
94,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
360,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
628,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
488,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
437,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
194,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
417,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
253,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
1298,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
1373,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
752,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
3007,0,0,15,0,0,0,0,True,0,0,0,0,0,0,0,0
1606,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
262,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
793,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
539,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
664,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
2895,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
660,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
