num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
204,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
293,1,1,0,0,0,0,0,True,0,0,0,0,0,0,0,0
169,5,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
343,3,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
110,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
278,0,0,3,1,0,0,0,True,0,0,0,0,0,0,0,0
612,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
52,17,0,1,0,1,0,0,True,0,0,0,0,1,0,0,0
162,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
116,8,1,5,1,0,1,0,True,0,0,0,0,2,0,1,1
26,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
160,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
15,26,101,6,1,1,1,0,True,0,0,0,0,0,0,2,0
142,142,0,0,0,0,0,0,True,2,0,2,0,19,0,4,0
68,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
96,4,1,3,1,0,0,0,True,0,0,0,0,0,0,0,0
303,7,3,0,1,0,1,0,True,0,0,0,0,0,0,0,0
36,59,0,6,1,0,1,0,True,1,0,0,0,10,0,0,0
640,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
513,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
171,1,0,4,1,1,1,0,True,0,0,0,0,1,1,0,0
284,3,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
59,4,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
81,1,1,1,1,0,0,0,True,0,0,0,0,0,0,0,0
64,10,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
6,11,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
702,7,0,2,1,1,1,0,True,0,0,0,0,4,0,0,0
91,0,1,3,1,1,1,0,True,0,0,0,0,0,1,0,0
62,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
114,5,2,4,1,0,1,0,True,0,0,0,0,0,0,0,0
117,11,0,4,1,0,1,0,True,0,0,0,0,0,0,1,0
335,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
106,0,1,2,1,1,1,0,True,0,0,0,0,0,1,1,1
404,0,0,3,0,0,0,0,True,0,0,0,0,0,0,1,0
277,0,0,8,0,0,0,0,True,0,0,0,0,0,0,1,0
3,1,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
70,0,6,3,1,0,1,0,True,0,0,0,0,0,0,0,1
111,0,2,0,0,0,1,0,False,0,0,0,0,0,0,0,0
17,1,15,0,1,0,1,0,True,0,0,0,0,0,0,1,5
69,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
13,1,17,0,1,0,1,0,True,0,0,0,0,0,0,1,4
106,0,5,17,1,0,1,0,True,0,0,0,0,0,1,0,0
102,0,0,3,0,0,1,0,True,0,0,0,0,0,0,0,0
73,0,0,5,0,0,0,0,True,0,0,0,0,0,0,0,0
14,1,29,5,1,1,1,0,True,0,0,0,1,0,1,1,5
17,0,3,4,1,1,1,0,True,0,0,0,0,0,1,0,2
27,6,0,0,1,0,1,0,True,0,0,1,0,4,0,0,0
110,0,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
34,1,16,0,1,1,1,0,True,0,0,0,0,0,0,1,5
40,0,0,2,0,0,1,0,True,0,0,0,0,0,0,0,0
18,1,15,0,1,0,1,0,True,0,0,0,0,0,0,1,5
32,17,1,1,1,0,1,0,True,0,0,0,0,0,0,5,0
62,0,2,3,1,0,1,0,True,0,0,0,0,0,0,0,0
12,1,15,4,1,0,1,0,True,0,0,0,0,0,0,1,5
170,0,2,5,1,1,1,0,True,0,0,0,0,0,0,0,0
20,1,18,0,1,0,1,0,True,0,0,0,0,0,0,1,5
45,0,4,6,1,0,1,0,True,0,0,0,0,0,1,0,0
135,0,0,6,0,0,1,0,True,0,0,0,0,0,0,0,0
13,1,22,10,1,1,1,0,True,0,0,0,1,0,2,1,5
18,4,0,0,0,0,0,0,True,0,0,1,0,2,0,0,0
29,26,0,4,1,0,1,0,True,0,0,0,0,3,0,1,0
522,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
35,8,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
26,0,5,0,1,0,1,0,False,0,1,0,0,0,0,0,1
58,0,5,2,1,0,0,0,True,0,0,0,0,0,1,0,0
45,0,4,0,1,1,1,0,False,0,1,0,0,0,0,0,1
60,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
16,26,2,13,1,0,1,0,True,3,0,0,0,5,1,4,0
