num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
166,9,0,5,1,1,1,0,True,1,0,0,0,0,0,1,1
593,13,2,0,1,1,1,0,True,0,0,0,0,1,0,0,0
714,6,1,1,1,0,1,0,True,0,0,0,0,1,0,0,0
227,5,4,2,1,1,1,0,True,1,0,0,0,0,1,1,1
5,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
472,13,1,6,1,1,1,0,True,0,0,0,0,2,0,0,1
508,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
1079,4,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
312,1,1,0,0,0,0,0,True,0,0,0,0,0,0,0,0
793,18,39,11,1,1,1,0,True,0,1,0,0,0,3,2,1
33,1,1,0,0,0,0,0,True,0,0,0,0,0,0,0,0
177,37,0,0,1,1,1,0,True,2,0,0,0,3,0,1,0
703,7,21,15,1,1,1,0,True,1,0,0,0,4,6,2,0
961,5,5,10,1,1,1,0,True,1,1,0,0,1,0,1,1
499,3,4,20,1,1,1,0,True,0,0,0,0,0,0,0,0
35,9,25,43,1,1,1,0,True,0,0,0,0,0,0,0,0
225,0,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
51,2,36,40,1,1,1,0,True,0,0,0,0,0,0,0,0
594,0,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
39,5,1,9,1,1,1,0,True,0,0,0,0,0,0,0,0
54,0,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
111,20,7,31,1,1,1,0,True,0,0,0,0,0,3,0,0
219,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
34,19,20,16,1,1,1,0,True,0,0,0,0,2,1,3,1
98,56,6,28,1,1,1,0,True,1,0,0,0,5,0,0,0
