num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
3,43,21,22,1,1,1,0,True,3,2,0,0,5,2,1,0
29,0,1,1,1,1,0,0,True,0,0,0,0,0,0,0,1
136,21,2,7,1,0,1,0,True,0,0,0,0,2,0,2,0
12,90,37,31,1,1,1,0,True,5,4,0,0,15,8,3,2
621,3,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
7,0,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
153,14,1,2,1,1,1,0,True,2,0,0,0,0,0,0,0
28,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
26,34,0,2,1,1,1,0,True,2,0,1,0,1,0,1,0
434,0,25,0,1,1,1,0,False,0,0,0,0,0,0,0,0
4,8,0,1,0,0,1,0,True,0,0,0,0,1,0,1,0
180,18,0,4,1,1,1,0,True,1,0,0,0,0,0,0,0
4,5,0,1,1,0,1,0,True,0,0,0,0,1,0,0,0
31,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
93,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,True,0,0,0,0,1,0,2,0
13,13,0,0,0,0,0,0,True,1,0,1,0,2,0,0,0
6,6,0,0,0,0,0,0,True,1,0,1,0,0,0,1,0
1,4,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
275,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
44,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
441,0,2,9,0,0,0,0,True,0,0,0,0,0,0,0,0
268,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
231,5,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
420,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
233,0,4,0,1,1,1,0,False,0,0,0,0,0,0,0,2
10,0,2,1,1,0,1,0,True,0,0,0,0,0,0,0,1
29,3,30,14,1,1,1,0,True,0,1,0,0,1,3,0,2
76,0,6,1,1,1,1,0,True,0,0,0,0,0,0,0,0
118,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
19,54,4,14,1,1,1,0,True,9,2,0,0,2,0,2,1
84,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
392,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
37,0,0,2,1,0,0,0,True,0,0,0,0,0,0,0,0
35,9,0,0,1,1,1,0,True,2,0,0,0,0,0,0,0
235,2,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
30,3,5,2,1,1,1,0,True,0,1,0,0,0,1,0,1
61,6,0,7,1,1,1,0,True,0,0,0,0,0,0,0,0
220,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
157,31,11,4,1,1,1,0,True,2,0,0,0,3,3,2,1
24,2,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,True,8,0,1,0,1,0,5,0
20,20,0,0,0,0,0,0,True,2,0,1,0,2,0,4,0
34,40,0,4,1,1,1,0,True,0,0,0,0,0,0,2,0
17,3,0,3,1,1,1,0,True,0,0,0,0,0,0,1,0
12,13,41,16,1,1,1,0,True,0,0,0,0,4,2,0,5
312,25,7,18,1,1,1,0,True,1,0,0,0,4,0,2,1
245,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
194,4,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
150,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
288,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
56,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
121,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
161,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
158,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
157,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
33,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
101,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
373,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
197,1,0,3,1,1,1,0,True,0,0,0,0,0,0,1,1
588,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
34,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
186,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
65,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
85,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
161,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
138,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
97,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
1218,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
271,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
30,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
244,11,3,10,1,1,1,0,True,0,0,0,0,0,0,0,0
16,4,8,5,1,1,1,0,True,0,0,0,0,1,4,1,0
158,2,2,2,1,0,0,0,True,0,0,0,0,0,1,0,0
118,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
6,1,19,5,1,1,1,0,True,0,1,0,0,0,1,2,2
1,3,6,6,1,1,1,0,True,0,0,0,0,1,1,1,1
48,48,0,0,0,0,0,0,True,2,0,0,0,3,0,4,0
97,5,0,4,1,1,1,0,True,0,0,0,0,0,0,0,0
9,3,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
6,0,1,0,0,0,1,0,False,0,0,0,0,0,0,0,0
110,13,1,16,1,1,1,0,True,0,0,0,0,0,0,0,0
61,7,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
42,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
165,19,0,16,1,1,1,0,True,0,0,0,0,0,0,0,0
12,2,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
302,15,0,26,1,1,1,0,True,0,0,0,0,0,0,0,0
49,5,0,6,0,0,1,0,True,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
95,7,0,6,1,1,1,0,True,0,0,0,0,0,0,0,0
126,3,0,6,1,1,1,0,True,0,0,0,0,0,0,0,0
196,3,1,17,1,1,1,0,True,0,0,0,0,0,0,0,0
145,9,9,13,1,1,1,0,True,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
480,6,1,12,1,1,1,0,True,0,0,0,0,0,0,0,0
35,3,0,2,0,0,1,0,True,0,0,0,0,0,0,0,0
24,0,2,5,1,1,1,0,True,0,0,0,0,0,0,0,0
80,3,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
140,4,0,7,1,0,1,0,True,0,0,0,0,0,0,0,0
194,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
45,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
109,4,0,4,1,0,0,0,True,0,0,0,0,0,0,0,0
19,4,0,0,0,0,1,0,True,1,0,0,0,0,0,0,0
96,4,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
122,8,0,1,1,1,1,0,True,0,0,0,0,1,0,1,2
104,1,1,0,0,0,0,0,True,0,0,0,0,0,0,0,0
50,1,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
114,1,0,9,1,1,1,0,True,0,0,0,0,1,0,1,0
61,6,0,4,1,0,1,0,True,0,0,0,0,0,0,0,0
42,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
70,5,0,12,1,0,1,0,True,0,0,0,0,0,0,0,0
43,2,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
3,3,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
16,2,0,3,1,0,1,0,True,0,0,0,0,0,0,0,0
179,7,0,7,1,0,1,0,True,0,0,0,0,0,0,0,0
38,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
139,8,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
187,4,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
80,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
198,24,0,0,1,1,1,0,True,4,0,0,0,0,0,0,0
160,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
414,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
129,2,0,2,1,0,1,0,True,0,0,0,0,0,0,1,0
369,8,1,4,1,1,1,0,True,0,0,0,0,0,0,0,0
146,6,11,1,1,1,1,0,True,0,1,0,0,0,0,0,0
1081,1,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
11,0,3,1,1,0,0,0,True,0,0,0,0,0,0,0,0
37,1,1,2,0,1,0,0,True,0,0,0,0,0,0,1,0
83,0,2,1,1,1,1,0,True,0,0,0,0,0,0,0,0
20,0,2,1,1,0,0,0,True,0,0,0,0,0,0,0,0
64,1,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
135,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
305,0,3,1,1,1,1,0,True,0,0,0,0,0,0,0,0
89,0,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
132,1,4,6,1,1,1,0,True,0,0,0,0,0,0,0,1
153,0,2,0,1,0,1,0,True,0,0,0,0,0,0,0,0
247,0,7,5,1,1,1,0,True,0,0,0,0,0,0,0,0
10,0,3,1,1,0,1,0,True,0,0,0,0,0,0,1,0
180,1,4,3,1,1,1,0,True,0,0,0,0,0,0,0,1
197,5,8,11,1,1,1,0,True,0,0,0,0,0,0,0,0
45,1,3,3,1,1,0,0,True,0,0,0,0,0,0,1,0
126,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
247,0,2,1,1,1,1,0,True,0,0,0,0,0,0,0,0
74,0,6,4,1,1,1,0,True,0,0,0,0,0,0,1,0
113,0,6,2,1,1,1,0,True,0,0,0,0,0,0,0,0
31,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
53,7,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
101,6,3,7,1,0,1,0,True,0,0,0,0,0,0,0,0
4,2,0,0,1,0,1,0,True,0,0,0,0,0,0,1,0
6,1,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
6,16,0,0,1,0,1,0,True,1,0,0,0,2,0,1,0
32,32,0,0,0,0,0,0,True,1,0,1,0,2,0,1,0
143,143,0,0,0,0,0,0,True,5,0,1,0,20,0,8,0
6,16,0,0,1,0,1,0,True,1,0,0,0,1,0,2,0
