num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
169,3,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
26,4,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
69,1,0,5,0,0,0,0,True,0,0,0,0,0,0,0,0
72,5,1,3,1,0,1,0,True,0,0,1,0,0,0,1,1
15,30,0,1,1,1,1,0,True,3,0,0,0,8,0,6,0
43,12,7,3,1,1,1,0,True,1,0,0,0,2,1,1,0
217,7,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
62,6,2,6,1,0,1,0,True,1,0,0,0,1,2,2,0
106,6,0,0,0,0,1,0,True,1,0,0,0,1,0,0,0
114,1,10,2,1,0,1,0,True,0,1,0,0,0,1,1,0
82,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
18,3,0,0,1,0,1,0,True,0,0,0,0,1,0,1,0
65,1,5,3,1,1,1,0,True,0,0,0,0,0,1,0,0
165,82,3,1,1,1,1,0,True,0,0,4,0,3,0,1,0
230,82,1,6,1,1,1,0,True,6,0,3,0,13,1,3,0
94,24,0,0,1,1,1,0,True,1,0,0,0,11,0,3,0
68,36,0,3,1,1,1,0,True,1,0,0,0,6,1,1,0
13,2,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
73,2,0,0,1,0,0,0,True,0,0,0,0,0,0,1,0
11,0,48,3,1,1,1,0,True,0,2,0,0,0,2,0,2
28,28,0,0,0,0,0,0,True,3,0,0,0,4,0,2,0
146,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
111,4,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
45,1,0,1,0,0,1,0,True,0,0,0,0,0,0,0,0
57,1,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
98,7,1,1,1,0,1,0,True,0,0,0,0,0,0,1,0
73,10,2,3,1,0,1,0,True,0,0,1,0,0,0,1,0
16,2,33,3,1,1,1,0,True,0,0,0,0,0,6,0,2
160,12,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
160,4,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
634,14,0,0,1,0,1,0,True,1,0,0,0,1,0,0,0
57,6,0,3,1,0,1,0,True,0,0,0,0,0,0,0,0
120,3,4,9,1,1,1,0,True,0,0,0,0,1,1,0,0
265,4,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
142,11,0,0,1,0,1,0,True,0,0,0,0,3,0,0,0
73,1,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
6,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
96,16,12,3,1,1,1,0,True,1,0,2,0,1,0,0,0
632,8,0,13,1,1,1,0,True,0,0,0,0,0,1,0,0
42,5,2,5,1,1,1,0,True,0,0,0,0,1,0,0,0
123,1,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
23,4,0,0,1,1,1,0,True,1,0,0,0,0,0,1,0
48,13,0,0,1,1,1,0,True,1,0,0,0,2,0,3,0
31,0,12,3,1,1,1,0,True,0,1,0,0,0,2,0,1
28,28,0,0,0,0,0,0,True,2,0,0,0,4,0,0,0
128,2,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
703,3,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
161,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
58,1,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
25,1,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
119,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
99,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
44,3,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
538,14,29,30,1,1,1,0,True,0,3,0,0,1,1,1,1
43,4,0,0,1,1,1,0,True,0,0,0,0,0,0,1,0
100,11,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
41,41,0,0,0,0,0,0,True,2,0,2,0,4,0,8,0
50,11,5,3,1,1,1,0,True,3,1,0,0,3,1,3,0
22,22,0,0,0,0,0,0,True,2,0,0,0,2,0,2,0
78,2,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
19,6,2,1,1,0,0,0,True,0,0,0,0,1,0,0,0
12,9,0,2,1,0,0,0,True,0,0,0,0,2,0,0,0
24,16,0,1,1,0,0,0,True,0,0,0,0,1,0,0,0
20,9,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
23,5,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
26,9,0,0,1,0,0,0,True,0,0,0,0,1,0,0,0
16,4,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
37,1,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
163,1,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
625,15,0,1,1,0,1,0,True,3,0,0,0,1,0,1,0
133,1,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
28,1,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
16,47,7,11,1,1,1,0,True,3,0,1,0,5,1,1,0
400,30,1,20,1,1,1,0,True,3,0,1,0,3,0,1,0
101,11,0,1,1,1,1,0,True,0,0,0,0,2,0,0,0
39,5,0,0,1,1,1,0,True,1,0,0,0,1,0,0,0
37,13,0,0,1,1,1,0,True,0,0,1,0,1,0,2,0
22,18,2,4,1,1,1,0,True,1,0,0,0,4,0,4,0
16,31,0,0,1,1,1,0,True,3,0,0,0,3,0,2,0
95,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
44,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
74,1,0,8,1,1,1,0,True,0,0,0,0,0,0,0,0
25,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
28,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
60,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
51,0,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
158,1,1,2,0,0,0,0,True,0,0,0,0,0,0,1,0
20,0,1,0,1,1,1,0,True,0,0,0,0,0,0,0,0
5,0,1,0,1,0,1,0,False,0,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
33,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
40,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
41,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
53,4,1,4,1,0,1,0,True,0,0,0,0,0,0,2,0
48,1,2,2,1,0,1,0,True,0,0,0,0,0,0,1,0
22,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
57,1,1,2,0,0,0,0,True,0,0,0,0,0,0,1,0
43,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
521,0,1,8,1,1,1,0,True,0,0,0,0,0,0,1,0
54,1,3,1,1,1,1,0,True,0,0,0,0,0,0,1,0
18,0,2,3,1,1,1,0,True,0,0,0,0,0,0,2,0
18,0,1,3,1,1,1,0,True,0,0,0,0,0,0,2,0
46,0,1,4,1,1,1,0,True,0,0,0,0,0,0,2,0
14,0,4,4,1,1,1,0,True,0,0,0,0,0,0,2,1
9,3,1,3,1,1,1,0,True,0,0,0,0,0,0,2,0
10,0,1,2,1,1,1,0,True,0,0,0,0,0,0,1,0
316,1,2,4,1,0,1,0,True,0,0,0,0,0,0,2,0
16,0,1,4,1,1,1,0,True,0,0,0,0,0,0,2,0
58,0,1,3,1,1,1,0,True,0,0,0,0,0,0,1,0
9,2,1,2,1,1,1,0,True,0,0,0,0,0,0,1,0
15,0,1,2,1,1,1,0,True,0,0,0,0,0,0,1,0
12,0,2,2,1,1,1,0,True,0,0,0,0,0,0,1,0
9,1,2,2,1,1,1,0,True,0,0,0,0,0,0,1,0
164,1,2,4,1,1,1,0,True,0,0,0,0,0,0,2,0
14,0,1,2,1,1,1,0,True,0,0,0,0,0,0,1,0
31,0,1,3,1,1,1,0,True,0,0,0,0,0,0,2,0
11,0,8,3,1,1,1,0,True,0,1,0,1,0,0,2,1
11,0,1,4,1,1,1,0,True,0,0,0,0,0,0,2,0
26,0,1,3,1,1,1,0,True,0,0,0,0,0,0,2,0
7,0,2,4,1,1,1,0,True,0,0,0,0,0,0,2,0
32,0,1,3,1,1,1,0,True,0,0,0,0,0,0,2,0
9,0,2,3,1,1,1,0,True,0,0,0,0,0,0,2,0
24,0,3,4,1,1,1,0,True,0,0,0,0,0,0,1,0
51,0,2,3,1,1,1,0,True,0,0,0,0,0,0,2,0
10,0,1,2,1,1,1,0,True,0,0,0,0,0,0,1,0
11,0,3,5,1,1,1,0,True,0,0,0,0,0,0,2,0
9,0,1,2,1,1,1,0,True,0,0,0,0,0,0,1,0
9,0,1,3,1,1,1,0,True,0,0,0,0,0,0,2,0
25,3,1,2,1,1,1,0,True,0,0,0,0,0,0,1,0
133,1,3,5,1,1,1,0,True,0,0,0,0,0,0,1,0
16,7,1,2,1,0,1,0,True,0,0,0,0,1,0,1,0
102,0,1,6,1,1,1,0,True,0,0,0,0,0,0,3,0
62,7,22,13,1,1,1,0,True,1,1,0,2,0,1,0,0
76,1,1,2,0,0,0,0,True,0,0,0,0,0,0,2,0
987,2,1,0,1,0,1,0,True,0,0,0,0,0,0,0,0
107,107,0,0,0,0,0,0,True,2,0,0,0,13,0,5,0
623,21,1,8,1,1,1,0,True,0,0,0,0,3,0,0,0
288,16,1,4,1,1,1,0,True,1,0,0,0,2,2,4,1
124,7,1,9,1,0,1,0,True,0,0,0,0,0,0,2,1
688,7,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
121,28,2,3,1,1,1,0,True,0,0,1,0,0,0,0,0
111,48,0,0,1,1,1,0,True,1,0,0,0,3,0,0,0
151,12,0,2,1,0,1,0,True,1,0,0,0,1,0,1,0
177,2,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
35,1,47,9,1,0,1,0,True,0,1,0,0,0,3,1,4
619,4,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
59,12,0,2,1,0,1,0,True,1,0,0,0,1,0,1,0
223,4,0,0,1,0,1,0,True,1,0,0,0,0,0,0,0
38,11,0,0,1,0,1,0,True,2,0,0,0,0,0,2,0
130,2,1,0,0,0,0,0,True,0,0,0,0,0,0,0,0
159,9,0,7,1,1,1,0,True,1,0,0,0,2,0,1,0
46,2,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
17,1,0,1,1,0,1,0,True,0,0,0,0,0,0,1,0
111,1,0,1,1,1,1,0,True,0,0,0,0,1,0,1,0
63,1,0,1,1,1,1,0,True,0,0,0,0,1,0,1,0
149,1,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
2,2,0,0,1,0,1,0,True,0,0,0,0,0,0,1,0
110,8,0,0,0,0,1,0,True,2,0,0,0,0,0,1,0
57,2,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
874,25,0,0,1,1,1,0,True,1,0,0,0,4,0,1,0
70,8,1,3,1,1,1,0,True,0,0,0,0,0,0,0,0
634,14,5,1,1,0,1,0,True,0,0,0,0,3,1,1,0
51,32,0,3,1,1,1,0,True,2,0,0,0,8,0,3,0
271,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,1
84,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
113,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
742,5,5,4,1,1,1,0,True,1,1,0,0,0,0,0,1
91,0,9,0,0,0,1,0,False,0,0,0,0,0,0,0,0
68,1,11,1,1,0,1,0,False,0,0,0,0,0,2,0,3
22,0,7,1,1,1,1,0,False,0,0,0,0,0,1,0,2
178,3,0,0,0,0,0,0,False,0,0,0,0,2,0,0,0
14,1,0,2,1,0,0,0,False,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
181,1,0,0,1,1,1,0,False,0,0,0,0,0,0,0,0
93,1,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
25,11,0,4,1,1,1,0,False,0,0,0,0,1,0,0,0
127,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
43,3,0,2,1,1,1,0,False,0,0,0,0,0,0,1,0
93,4,0,1,0,0,1,0,False,1,0,0,0,0,0,1,0
21,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,False,0,0,0,0,11,0,1,0
205,8,0,10,1,1,1,0,False,0,0,0,0,0,0,0,0
75,1,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
35,0,0,2,0,0,0,0,False,0,0,0,0,0,0,0,0
6,1,0,5,1,0,1,0,False,0,0,0,0,0,0,1,0
492,9,1,3,1,1,1,0,False,1,0,0,0,0,0,1,0
87,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
341,0,0,1,1,0,0,0,False,0,0,0,0,0,0,0,0
70,5,0,1,1,1,1,0,False,0,0,0,0,0,0,0,0
122,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
21,15,0,0,1,0,1,0,False,1,0,0,0,1,0,1,0
99,15,0,0,1,1,1,0,False,1,0,0,0,1,0,0,0
195,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
79,1,0,0,1,0,1,0,False,0,0,0,0,0,0,0,0
38,0,6,5,1,0,1,0,False,0,0,0,0,0,0,0,0
5,9,0,0,1,1,1,0,False,1,0,0,0,0,0,0,0
6,0,4,1,0,1,1,0,False,0,0,0,0,0,0,0,0
72,0,8,7,1,0,1,0,False,0,0,0,0,0,0,0,0
99,0,0,2,1,0,1,0,False,0,0,0,0,0,0,0,0
43,4,1,4,1,0,1,0,False,0,0,0,0,0,0,0,0
873,0,0,2,1,1,1,0,False,0,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
6,0,3,0,0,0,0,0,False,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
6,0,3,0,0,0,0,0,False,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
79,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
43,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
62,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
26,10,0,1,1,1,1,0,False,0,0,0,0,2,0,0,0
40,1,0,4,1,0,1,0,False,0,0,0,0,0,0,1,0
56,4,0,3,1,0,1,0,False,0,0,0,0,0,0,0,0
42,7,0,2,1,1,1,0,False,0,0,0,0,1,0,1,0
93,1,21,5,1,0,1,0,False,0,0,0,1,0,3,1,4
44,44,0,0,0,0,0,0,False,6,0,4,0,8,0,1,0
64,1,27,10,1,1,1,0,False,0,0,0,2,0,2,1,4
16,1,1,2,0,0,1,0,False,0,0,0,0,0,0,1,0
16,1,0,2,1,0,1,0,False,0,0,0,0,0,0,1,0
538,17,123,6,1,1,1,0,False,3,0,1,0,1,1,1,2
240,0,1,1,1,1,1,0,False,0,0,0,0,0,0,0,0
142,8,0,0,1,1,1,0,False,1,0,0,0,1,0,0,0
21,23,5,6,1,0,1,0,False,1,1,2,0,2,0,2,0
351,3,0,0,1,1,1,0,False,1,0,0,0,0,0,0,0
73,2,0,0,0,0,0,0,False,0,0,0,0,1,0,0,0
15,10,15,11,1,1,1,0,False,1,0,0,0,1,0,1,0
67,11,0,1,1,1,1,0,False,2,1,1,0,1,0,1,0
78,78,0,0,0,0,0,0,False,4,0,1,0,9,0,1,0
99,1,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
30,1,0,2,1,0,1,0,False,0,0,0,0,0,0,2,0
231,231,0,0,0,0,0,0,False,9,0,2,0,16,0,20,0
104,104,0,0,0,0,0,0,False,7,0,0,0,16,0,16,0
33,4,0,5,1,0,1,0,False,0,0,0,0,2,0,0,0
86,1,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
319,0,6,1,1,1,1,0,False,0,0,0,0,0,2,0,1
86,7,0,0,1,1,1,0,False,0,0,0,0,0,0,0,0
157,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
153,0,0,2,0,0,0,0,False,0,0,0,0,0,0,0,0
77,0,1,1,0,0,0,0,False,0,0,0,0,0,0,0,0
61,2,0,2,1,0,1,0,False,0,0,0,0,1,0,1,0
32,4,0,0,1,0,0,0,False,0,0,0,0,1,0,1,0
636,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
13,7,0,2,1,0,1,0,False,0,0,0,0,0,0,1,0
10,4,4,3,1,0,1,0,False,0,0,0,0,2,0,0,0
70,0,0,2,0,0,0,0,False,0,0,0,0,0,0,0,0
6,1,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
63,0,0,2,0,0,0,0,False,0,0,0,0,0,0,0,0
31,6,1,1,1,1,1,0,False,1,0,0,0,0,0,2,0
23,5,0,0,0,0,0,0,False,0,0,0,0,1,0,0,0
66,0,2,0,1,0,1,0,False,0,0,0,0,0,0,0,0
146,146,0,0,0,0,0,0,False,7,0,1,0,19,0,6,0
103,6,0,1,0,0,0,0,False,0,0,0,0,3,0,0,0
71,71,0,0,0,0,0,0,False,10,0,2,0,4,0,26,0
11,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
52,13,1,2,1,0,1,0,False,1,0,0,0,2,0,3,0
50,11,0,7,1,0,1,0,False,1,0,0,0,1,0,0,0
13,13,0,0,0,0,0,0,False,1,0,0,0,2,0,2,0
9,2,9,2,0,0,1,0,False,0,2,0,0,1,0,0,1
12,8,0,1,1,0,1,0,False,1,0,0,0,0,0,0,0
47,0,0,4,0,0,0,0,False,0,0,0,0,0,0,0,0
20,5,0,0,1,1,1,0,False,1,0,0,0,0,0,0,0
38,0,0,3,0,0,0,0,False,0,0,0,0,0,0,0,0
53,0,0,4,0,0,0,0,False,0,0,0,0,0,0,0,0
15,3,2,5,1,0,1,0,False,0,0,0,0,0,0,1,0
19,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0
76,0,0,6,0,0,0,0,False,0,0,0,0,0,0,0,0
76,0,0,4,0,0,0,0,False,0,0,0,0,0,0,0,0
99,0,0,3,0,0,0,0,False,0,0,0,0,0,0,0,0
6,22,1,18,1,1,1,0,False,1,0,0,0,2,0,3,0
43,0,0,2,0,0,0,0,False,0,0,0,0,0,0,0,0
