num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
211,2,2,9,1,0,1,0,True,0,0,0,0,0,0,1,0
93,6,0,1,1,1,1,0,True,0,0,0,0,1,0,1,0
151,1,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
673,11,14,68,1,1,1,0,True,0,0,0,0,0,0,0,0
375,10,0,2,1,1,1,0,True,0,0,0,0,1,0,0,0
154,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
229,19,0,0,1,1,1,0,True,1,0,0,0,0,0,0,0
266,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
164,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
8,2,1,1,0,1,1,0,True,0,0,0,0,0,0,0,0
32,4,1,5,1,1,1,0,True,0,0,0,0,0,0,0,0
16,3,0,4,1,1,1,0,True,0,0,0,0,0,0,0,0
18,3,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
107,3,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
232,20,0,20,1,1,1,0,True,0,0,0,0,0,0,0,0
4,3,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
4,3,1,3,1,0,1,0,True,0,0,0,0,0,0,0,0
2,3,1,3,1,0,1,0,True,0,0,0,0,0,0,0,0
186,12,0,9,1,1,1,0,True,0,0,0,0,0,0,0,0
102,11,1,10,1,0,1,0,True,0,0,0,0,0,0,0,0
126,3,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
31,2,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
136,8,0,7,1,0,1,0,True,0,0,0,0,0,0,0,0
227,11,0,11,1,1,1,0,True,0,0,0,0,0,0,0,0
7,2,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
78,2,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
64,7,0,8,1,1,1,0,True,0,0,0,0,0,0,0,0
