num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
55,5,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
17,5,0,2,1,1,1,0,True,0,0,0,0,0,0,1,0
5,6,0,3,1,1,1,0,True,0,0,0,0,0,0,1,0
46,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
173,1,1,1,0,0,0,0,True,0,0,0,0,0,0,1,0
9,1,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
19,6,1,1,1,0,1,0,True,0,0,0,0,0,0,1,0
73,2,0,23,1,1,1,0,True,0,0,0,0,0,0,4,0
128,2,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
41,0,2,6,1,0,1,0,True,0,0,0,0,0,0,1,0
4,1,0,1,1,0,1,0,True,0,0,0,0,0,0,1,0
1,1,0,1,1,0,1,0,True,0,0,0,0,0,0,1,0
3,1,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
33,7,5,6,1,0,1,0,True,0,1,0,0,0,0,1,0
16,2,55,3,1,1,1,0,True,0,3,0,0,0,6,0,4
64,64,0,0,0,0,0,0,True,2,0,0,0,6,0,3,0
39,16,11,15,1,1,1,0,True,2,0,0,0,0,6,2,1
10,1,1,2,0,0,0,0,True,0,0,0,0,0,0,0,1
8,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
107,1,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
63,1,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
179,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
69,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
11,1,1,1,0,0,0,0,True,0,0,0,0,0,0,0,0
100,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
14,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
23,2,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
59,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
82,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
50,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
234,3,1,0,1,1,1,0,True,0,0,0,0,0,0,0,0
19,22,0,6,1,1,1,0,True,2,0,0,0,1,0,4,1
155,19,0,0,1,0,1,0,True,2,0,0,0,0,0,1,0
12,1,3,2,1,1,1,0,True,0,0,0,0,0,0,0,1
130,5,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
249,5,0,4,1,0,1,0,True,0,0,0,0,0,0,0,0
168,9,10,18,1,0,1,0,True,0,0,0,0,0,0,2,1
208,16,1,5,1,1,1,0,True,0,0,0,0,1,1,0,0
193,2,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
228,1,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
191,2,3,7,1,0,1,0,True,1,1,0,0,0,0,2,3
300,0,0,1,1,0,0,0,True,0,0,0,0,1,1,0,0
84,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
51,2,3,0,1,1,1,0,True,0,0,0,0,0,0,0,1
3,33,0,1,1,1,1,0,True,3,0,0,0,4,0,5,0
163,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
50,0,0,3,1,0,0,0,True,0,0,0,0,0,0,0,0
177,6,1,7,1,1,1,0,True,0,0,0,0,0,1,1,1
182,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
116,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
162,0,0,2,1,0,0,0,True,0,0,0,0,0,0,0,0
72,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
7,2,11,5,1,1,1,0,True,0,1,0,0,1,0,0,1
174,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
306,2,0,0,1,0,0,0,True,0,0,0,0,1,0,0,0
94,7,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
56,7,1,2,1,0,1,0,True,0,0,0,0,2,0,1,0
18,1,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
156,4,0,0,1,1,1,0,True,0,0,0,0,0,0,1,0
154,154,0,0,0,0,0,0,True,16,0,4,0,11,0,5,0
166,6,1,6,1,0,1,0,True,0,0,0,0,1,0,1,0
51,23,0,0,1,1,1,0,True,0,0,1,0,0,0,1,0
35,46,0,0,1,1,1,0,True,3,0,0,0,3,0,4,0
90,18,1,0,1,1,1,0,True,2,0,1,0,0,0,0,0
70,1,0,2,1,1,1,0,True,0,0,0,0,1,0,0,0
38,7,3,3,1,0,1,0,True,0,0,0,0,1,0,0,0
39,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
