num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
85,85,0,0,0,0,0,0,True,2,0,0,0,9,0,11,0
46,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0
119,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
291,11,2,25,1,1,1,0,True,0,0,0,0,0,0,0,0
39,0,2,0,1,1,1,0,True,0,0,0,0,0,0,0,0
31,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
13,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
1013,12,4,1,1,1,1,0,True,0,0,0,0,0,2,0,1
435,0,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
93,2,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
1,3,3,4,0,0,0,0,True,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,True,0,0,2,0,8,0,1,0
16,16,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
80,80,0,0,0,0,0,0,True,1,0,0,0,5,0,0,0
7,7,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
108,108,0,0,0,0,0,0,True,0,0,0,0,1,0,1,0
71,71,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
57,12,3,6,1,1,1,0,True,2,2,0,0,1,0,1,1
262,2,0,0,0,1,1,0,True,0,0,0,0,1,0,0,0
12,8,0,1,1,1,1,0,True,0,0,0,0,2,0,0,0
3,144,6,6,0,1,0,0,True,0,0,0,0,2,0,0,0
1,0,0,8,0,0,0,0,True,0,0,0,0,0,0,0,0
588,0,0,2,0,0,0,0,True,0,0,0,0,0,0,1,1
102,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
63,0,2,5,1,1,1,0,True,0,0,0,0,0,0,0,0
116,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
39,39,0,0,0,0,0,0,True,2,0,0,0,8,0,7,0
206,7,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
223,3,0,1,1,1,0,0,True,0,0,0,0,1,0,0,0
23,6,7,6,1,0,1,0,True,0,2,0,0,0,0,0,0
9,14,4,12,1,1,1,0,True,1,0,0,0,4,0,3,1
61,0,1,2,1,0,1,0,True,0,0,0,0,0,0,0,0
91,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
11,51,1,3,1,1,1,0,True,4,0,1,0,2,0,3,0
2,2,0,5,0,0,0,0,True,0,0,0,0,0,0,0,0
64,4,3,4,1,1,1,0,True,0,0,0,0,0,3,0,3
110,0,5,0,1,1,1,0,False,0,0,0,0,0,3,0,1
84,15,0,2,1,1,1,0,True,0,0,0,0,4,0,1,0
114,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
49,18,2,5,1,1,1,0,True,1,0,0,0,2,1,1,1
199,3,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
259,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
28,3,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
399,6,0,2,1,0,1,0,True,0,0,1,0,0,0,0,0
584,2,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
17,0,1,1,1,0,1,0,True,0,0,0,0,0,0,0,0
94,0,3,1,1,1,1,0,True,0,0,0,0,0,0,0,1
19,4,0,1,0,1,0,0,True,0,0,0,0,0,0,0,0
18,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
109,1,2,1,0,1,1,0,True,0,0,0,0,0,0,0,0
318,13,0,4,1,1,1,0,True,0,0,0,0,2,0,1,0
13,2,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
218,0,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
146,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
434,3,0,0,0,1,1,0,True,0,0,0,0,1,0,0,0
237,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
15,44,61,45,1,1,1,0,True,3,3,0,0,5,14,2,4
123,0,2,4,1,1,1,0,True,0,0,0,0,0,0,0,0
9,36,0,0,1,0,1,0,True,1,0,0,0,2,0,0,0
794,1,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
66,0,33,3,1,1,1,0,True,0,1,0,0,0,1,1,0
545,2,0,2,1,0,1,0,True,0,0,0,0,0,0,0,0
26,3,6,4,0,0,0,0,True,0,0,0,0,1,0,0,0
2,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
17,5,2,8,1,0,1,0,True,0,0,0,0,0,0,0,0
10,1,5,2,0,1,0,0,True,0,0,0,0,0,0,0,0
10,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
15,24,2,5,0,1,0,0,True,0,0,0,0,0,0,0,0
176,3,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
104,1,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
294,3,0,1,0,1,1,0,True,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
31,31,0,0,0,0,0,0,True,3,0,1,0,4,0,6,0
274,1,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
315,10,3,6,1,1,1,0,True,0,0,0,0,0,0,0,0
92,58,0,3,1,1,1,0,True,3,0,0,0,6,0,0,0
244,42,0,0,1,0,1,0,True,2,0,0,0,0,0,2,0
7,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
172,70,55,56,1,1,1,0,True,7,5,0,0,4,3,5,1
344,4,0,1,1,1,1,0,True,0,0,0,0,2,0,0,0
108,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
269,6,0,1,1,1,1,0,True,0,0,0,0,1,0,0,0
55,95,1,4,1,0,1,0,True,0,0,0,0,0,0,0,0
422,4,0,0,1,1,1,0,True,0,0,1,0,1,0,0,0
999,18,0,1,1,1,1,0,True,0,0,0,0,2,0,1,0
662,17,0,0,1,1,1,0,True,1,0,0,0,1,0,1,0
9,2,1,0,1,1,1,0,True,0,0,0,0,1,0,0,0
2,7,5,0,0,0,0,0,True,0,0,0,0,0,0,0,0
107,107,0,0,0,0,0,0,True,1,0,0,0,6,0,0,0
47,47,0,0,0,0,0,0,True,0,0,0,0,1,0,0,0
748,22,2,7,1,1,1,0,True,2,0,0,0,0,0,0,0
85,0,1,0,1,1,1,0,True,0,0,0,0,0,0,0,0
1,2,0,0,1,0,1,0,True,0,0,0,0,1,0,0,0
666,2,0,1,1,0,1,0,True,0,0,0,0,1,0,0,0
434,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
592,8,0,4,1,1,1,0,True,0,0,0,0,1,1,0,0
5,125,1,3,1,1,1,0,True,7,0,0,0,12,0,6,0
17,0,40,1,1,1,1,0,True,0,1,0,0,0,7,0,3
41,178,12,8,1,1,1,0,True,5,0,0,3,11,0,4,0
189,40,1,4,1,1,1,0,True,5,0,0,0,2,0,5,0
173,0,0,2,0,0,0,0,True,0,0,0,0,0,0,1,1
673,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
69,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
95,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
101,101,0,0,0,0,0,0,True,4,0,0,0,26,0,23,0
49,62,25,25,1,1,1,0,True,4,0,0,0,8,4,12,6
31,32,0,4,1,1,1,0,True,2,0,0,0,1,0,2,0
16,4,0,2,1,1,1,0,True,0,0,0,0,1,0,0,0
143,11,1,7,1,1,1,0,True,0,0,0,0,1,1,1,1
540,4,6,2,0,0,0,0,True,0,0,0,1,1,0,0,0
213,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
170,1,3,0,1,1,1,0,True,0,0,0,0,0,0,0,0
683,0,15,1,1,1,1,0,True,0,0,0,0,0,1,0,0
336,2,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
151,1,0,2,1,1,1,0,True,0,0,0,0,1,0,0,0
687,5,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
166,18,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
33,17,61,10,1,1,1,0,True,0,3,0,0,2,5,3,5
55,55,0,0,0,0,0,0,True,4,0,0,0,16,0,9,0
27,0,24,2,0,1,0,0,True,0,0,0,0,0,0,0,0
42,2,0,0,1,1,1,0,True,0,0,0,0,1,0,0,0
12,12,0,0,0,0,0,0,True,0,0,0,0,2,0,0,0
25,41,16,18,1,1,1,0,True,0,0,0,0,6,3,9,1
30,0,0,10,0,0,0,0,True,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
17,92,2,9,1,0,1,0,True,2,0,0,0,18,0,17,0
96,0,8,1,1,1,1,0,True,0,1,0,0,0,0,0,1
27,27,0,0,0,0,0,0,True,3,0,0,0,6,0,4,0
121,0,2,2,1,0,1,0,True,0,0,0,0,0,0,2,0
12,1,0,1,1,0,1,0,True,0,0,0,0,0,0,0,0
399,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
445,0,3,3,1,1,1,0,True,0,0,0,0,0,1,0,0
85,0,1,0,1,1,1,0,False,0,0,0,0,0,0,0,0
36,5,0,1,1,1,1,0,True,0,0,0,0,1,0,1,0
