num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
545,2,0,0,1,1,1,0,True,0,0,0,0,2,0,0,0
31,32,1,1,1,1,1,0,True,0,0,0,0,2,0,1,0
231,231,0,0,0,0,0,0,True,5,0,0,0,25,0,19,0
206,35,4,5,1,1,1,0,True,3,0,0,0,1,0,0,0
73,68,11,8,1,1,1,0,True,2,1,0,0,1,2,3,0
36,30,0,1,1,0,1,0,True,2,0,0,0,3,0,0,0
980,18,0,2,0,1,1,0,True,2,0,1,0,0,0,1,0
286,4,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
137,69,0,4,1,1,1,0,True,0,0,0,0,1,0,2,0
293,7,0,0,0,0,0,0,True,0,0,1,0,2,0,0,0
423,50,1,1,1,1,1,0,True,0,0,0,0,0,0,1,0
1529,47,0,2,1,1,1,0,True,0,0,0,0,5,0,0,0
273,24,0,3,1,1,1,0,True,2,0,0,0,0,0,2,0
427,6,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
33,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
86,2,0,0,1,0,1,0,True,0,0,0,0,0,0,0,0
4,2,0,0,1,1,0,0,True,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
418,32,136,36,1,1,1,0,True,0,0,0,0,8,10,0,1
54,33,58,43,1,1,1,0,True,0,0,0,0,2,8,5,1
37,4,3,2,1,1,1,0,True,0,0,0,0,0,0,0,0
176,31,34,15,1,1,1,0,True,0,0,0,0,7,0,0,0
619,4,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
731,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
911,0,0,24,0,0,0,0,True,0,0,0,0,0,0,0,0
547,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
1051,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
269,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
1120,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
167,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
251,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
240,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
574,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
546,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
636,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
1350,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
548,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
645,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
175,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
246,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
