num_changes,added_lines,removed_lines,modified_lines,if_condition_changed,loop_range_changed,method_signature_changed,variables_renamed,is_defective,added_functions,removed_functions,added_classes,removed_classes,added_variables,removed_variables,added_method_calls,removed_method_calls
245,1,0,2,1,1,1,0,True,0,0,0,0,0,0,0,0
216,3,0,3,1,1,1,0,True,0,0,0,0,0,0,0,0
368,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
313,0,0,3,0,0,0,0,True,0,0,0,0,0,0,0,0
435,2,1,6,1,1,1,0,True,0,0,0,0,0,0,0,0
214,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
880,0,0,4,0,0,0,0,True,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0
40,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
41,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
351,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
257,1,1,3,0,0,0,0,True,0,0,0,0,0,0,0,0
120,0,0,1,1,0,0,0,True,0,0,0,0,0,0,0,0
28,4,0,12,1,1,1,0,True,1,0,0,0,0,0,2,0
351,2,1,5,1,1,0,0,True,0,0,0,0,0,0,0,0
366,0,1,4,1,1,1,0,True,0,0,0,0,0,0,0,0
25,0,3,0,1,0,1,0,True,0,0,0,0,0,1,0,0
423,4,1,0,1,1,1,0,True,0,0,0,0,0,0,0,0
552,2,1,4,1,1,1,0,True,0,0,0,0,0,0,2,0
37,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
417,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
318,5,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
382,4,0,5,1,1,0,0,True,0,0,0,0,0,0,0,0
622,2,0,0,1,1,1,0,True,0,0,0,0,0,0,0,0
876,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
288,0,0,3,1,1,0,0,True,0,0,0,0,0,0,0,0
118,0,1,3,0,0,0,0,True,0,0,0,0,1,0,0,0
103,3,0,0,1,0,0,0,True,0,0,0,0,0,0,0,0
371,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
752,2,0,2,1,1,1,0,True,0,0,0,0,1,0,1,1
32,1,2,3,1,1,1,0,True,0,0,0,0,0,0,1,0
870,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
13,13,0,0,0,0,0,0,True,0,0,0,0,4,0,1,0
38,38,0,0,0,0,0,0,True,1,0,0,0,10,0,2,0
53,2,2,12,1,0,1,0,True,0,0,0,0,0,0,0,0
132,10,2,16,1,1,1,0,True,1,0,0,0,1,2,0,0
60,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
131,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
415,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
243,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
172,3,0,1,1,1,1,0,True,0,0,0,0,2,0,0,0
550,2,0,5,1,1,1,0,True,0,0,0,0,0,0,0,0
318,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,0
374,0,0,5,1,0,1,0,True,0,0,0,0,0,0,0,0
472,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
437,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
34,15,0,9,1,1,1,0,True,0,0,0,0,2,0,0,0
121,0,0,6,0,0,0,0,True,0,0,0,0,0,0,0,0
243,0,1,2,1,1,1,0,True,0,0,0,0,0,0,0,0
775,8,0,0,0,1,1,0,True,1,0,0,0,1,0,0,0
154,1,2,3,1,1,1,0,True,0,0,0,0,0,0,0,0
263,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
141,11,0,1,1,1,1,0,True,1,0,0,0,2,0,0,0
186,36,0,1,1,1,1,0,True,0,0,2,0,0,0,5,0
49,15,0,15,0,0,0,0,True,0,0,0,0,2,1,2,0
429,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
17,10,0,2,1,1,1,0,True,1,1,0,0,1,0,1,1
63,10,5,3,1,1,1,0,True,0,0,0,0,1,0,0,0
13,19,9,13,1,1,1,0,True,0,0,0,0,2,1,0,3
100,1,0,1,1,1,1,0,True,0,0,0,0,0,0,0,1
392,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
22,5,1,2,1,1,1,0,True,0,0,0,0,0,0,2,0
300,0,1,1,1,1,1,0,True,0,0,0,0,0,0,0,0
332,1,2,2,1,1,1,0,True,0,0,0,0,0,0,0,0
55,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
41,4,0,1,1,1,1,0,True,0,0,0,0,0,0,1,0
164,22,0,1,1,1,1,0,True,1,0,0,0,3,0,1,0
194,14,0,0,1,1,1,0,True,2,0,0,0,0,0,2,0
578,2,0,4,1,1,1,0,True,0,0,0,0,0,0,0,0
208,0,23,6,1,1,0,0,True,0,0,0,0,0,3,1,1
197,20,0,1,1,1,1,0,True,1,0,0,0,4,0,1,0
149,0,0,1,0,0,0,0,True,0,0,0,0,0,0,0,0
362,2,1,4,0,1,0,0,True,0,0,0,0,0,0,0,0
87,0,0,2,0,0,0,0,True,0,0,0,0,0,0,0,0
131,0,0,4,0,0,0,0,True,0,0,0,0,0,0,1,0
